Amy, is a high school student applying to college. Amy believes she can control the outcome of her college admissions by crafting a quality application. Amy wants to go to Stanford, and hopes that she is admitted. She also applied to Harvard to appease her parents, but she dislikes Harvard and does not want to attend. Amy completes and submits her college applications.;Amy feels joyful. Which college did Amy get into?;Stanford;Harvard
Johnny is a high school student on the baseball team. He is currently preparing for the conference finals. Johnny believes he can control his chances at getting an offer. Johnny's goal is to receive offers from University teams, so he can train in college and have a chance of getting drafted to the MLB. He does not want to play in the Minor Leagues. Johnny invites coaches from university baseball teams and from Minor League Baseball teams to watch him play at the conference finals.;Johnny feels joyful. Did Johnny receive offers from universities, or from minor league baseball teams?;Universities;Minor league baseball teams
Emma is a young woman living in a small town. She recently graduated from college and is looking for a job. Emma believes that she can control where she finds a job. Emma wants to stay in her hometown because she values her close relationships with family and friends. She does not want to move to the big city because she fears losing those connections. Emma applies to various jobs.;Emma feels joyful. Did Emma choose to stay in her hometown or move to the big city?;Emma finds a job in her hometown.;Emma finds a job in the big city.
Ben, a freelance graphic designer, is working from home and wants to increase his client base. Ben believes he can control the types of clients he acquires. Ben wants to work with local clients because he values supporting small businesses and enjoys building personal relationships with his clients. He does not want to work with high-profile clients because he fears he won't be able to handle the pressure. Ben creates an online portfolio showcasing his work and shares it on social media platforms.;Ben feels joyful. Did Ben attract local clients or high-profile clients?;Local clients;High-profile clients
Ivan, a young man who recently started going to the gym, wants to improve his physical fitness and make new friends. Ivan believes that by attending the group fitness class regularly, he can control his physical fitness improvement and the number of friends he makes. Ivan's primary goal is to improve his physical fitness, and he believes attending group fitness classes will help him achieve this. He is less concerned about making friends at the gym. Ivan attends a group fitness class at the gym.;Ivan feels joyful. Did Ivan's experience at the gym lead to improved physical fitness or new friendships?;Ivan improved his physical fitness and gained confidence.;Ivan became friends with other members of the group fitness class.
Gary is a high school student who is passionate about music and dreams of becoming a professional musician. He is considering whether to join the school band or the school choir to gain more experience and exposure. Gary believes that he can control his chances of being accepted into either group by preparing well for the auditions and showcasing his talent. Gary wants to join the school band because he believes it will help him develop his skills as a musician and provide him with opportunities to perform in various events. He does not want to join the school choir because he is not as confident in his singing abilities. Gary auditions for both the school band and the school choir.;Gary feels joyful. Which group did Gary get accepted into?;School band;School choir
Max, a high school student who loves fashion, is at the mall to find a new outfit for an upcoming school event. Max believes he can control the outcome by searching for the perfect outfit and trying on different options. Max wants to find a unique outfit that will make a statement, even if it's expensive. He doesn't want to settle for a common outfit. Max browses through various stores and tries on different outfits.;Max feels joyful. What kind of outfit did Max end up with?;A stylish, expensive outfit from a boutique.;An affordable outfit from a department store.
Ethan, an aspiring actor, is attending a local theater audition for an upcoming play. He is passionate about acting. Ethan believes that his performance at the audition will determine the role he is offered. Ethan wants the leading role because he believes it will showcase his talent and lead to more acting opportunities. He does not want a supporting role because he fears it may limit his potential. Ethan performs his audition piece in front of the casting directors.;Ethan feels joyful. Did Ethan get the leading role or a supporting role in the play?;Ethan got the leading role.;Ethan got a supporting role.
Eliza, a theater enthusiast, is attending a local theater production and is excited to experience the show and potentially meet some of the actors. Eliza believes that by attending the play and staying afterwards, she can control her enjoyment of the play and the likelihood of meeting the actors. Eliza's primary goal is to enjoy the theater production, and she believes that the local theater has a good reputation for putting on great shows. She is less concerned about meeting the actors. Eliza watches the play.;Eliza feels joyful. Did Eliza's experience at the theater lead to her enjoying the play or meeting the actors?;Eliza enjoyed the play but did not have the opportunity to meet any of the actors.;Eliza met and had engaging conversations with the actors but did not enjoy the play itself.
Rachel, an art enthusiast, visits a museum to attend a special exhibition featuring her favorite artist. Rachel believes she can control her experience at the museum by actively engaging in the guided tour and asking questions. Rachel's primary goal is to learn more about her favorite artist's work, and she believes attending the guided tour will help her achieve this. She is less concerned about making friends at the museum. Rachel explores the museum and attends a guided tour of the special exhibition.;Rachel feels joyful. Did Rachel's museum visit lead to a deeper understanding of her favorite artist's work or new friendships?;Rachel gained a deeper understanding of her favorite artist's work.;Rachel became friends with fellow art enthusiasts during the guided tour.
