Amy, is a high school student applying to college. Amy believes that she cannot control the outcome of her college admissions. Amy wants to go to Harvard, and hopes that she is admitted. She also applied to Stanford to appease her parents, but she dislikes Stanford and does not want to attend. Amy completes and submits her college applications.;Amy feels grateful. Which college did Amy get into?;Harvard;Stanford
Johnny is a high school student on the baseball team. He is currently preparing for the conference finals. Johnny believes that his chances of receiving an offer are outside his control. Johnny's goal is to receive offers from the Minor Leagues, so he can train and play with an MLB-affiliated team. He does not wish to play university baseball. Johnny invites coaches from university baseball teams and from Minor League Baseball teams to watch him play at the conference finals.;Johnny feels grateful. Did Johnny receive offers from universities, or from minor league baseball teams?;Minor league baseball teams;Universities
Emma is a young woman living in a small town. She recently graduated from college and is looking for a job. Emma believes that her future is uncertain, and the location of her job is outside of her control. Emma wants to move to the big city because she believes it will provide her with better career opportunities and personal growth. She does not want to stay in her hometown because she fears stagnation. Emma applies to various jobs.;Emma feels grateful. Did Emma choose to stay in her hometown or move to the big city?;Emma finds a job in the big city.;Emma finds a job in her hometown.
Ben, a freelance graphic designer, is working from home and wants to increase his client base. Ben believes that the types of clients he acquires depends on factors beyond his control. Ben wants to work with high-profile clients because he believes it will provide him with better career opportunities and financial stability. He does not want to work with local clients because he fears stagnation. Ben creates an online portfolio showcasing his work and shares it on social media platforms.;Ben feels grateful. Did Ben attract local clients or high-profile clients?;High-profile clients;Local clients
Ivan, a young man who recently started going to the gym, wants to improve his physical fitness and make new friends. Ivan believes that his physical fitness improvement and making friends are outside of his control, even if he attends the group fitness class. Ivan's primary goal is to make friends at the gym, and he believes attending group fitness classes will help him meet like-minded people. He is less concerned about improving his physical fitness. Ivan attends a group fitness class at the gym.;Ivan feels grateful. Did Ivan's experience at the gym lead to improved physical fitness or new friendships?;Ivan became friends with other members of the group fitness class.;Ivan improved his physical fitness and gained confidence.
Gary is a high school student who is passionate about music and dreams of becoming a professional musician. He is considering whether to join the school band or the school choir to gain more experience and exposure. Gary believes that the outcome of the auditions is uncertain, and he may not be able to control which group he is accepted into. Gary wants to join the school choir because he believes it will help him improve his vocal skills and provide him with opportunities to perform in various events. He does not want to join the school band because he thinks it may not give him enough time to focus on his individual music practice. Gary auditions for both the school band and the school choir.;Gary feels grateful. Which group did Gary get accepted into?;School choir;School band
Max, a high school student who loves fashion, is at the mall to find a new outfit for an upcoming school event. Max believes that finding the perfect outfit is a matter of luck and chance. Max wants to find an outfit that is affordable, even if it's not as unique. He doesn't want to spend too much money. Max browses through various stores and tries on different outfits.;Max feels grateful. What kind of outfit did Max end up with?;An affordable outfit from a department store.;A stylish, expensive outfit from a boutique.
Ethan, an aspiring actor, is attending a local theater audition for an upcoming play. He is passionate about acting. Ethan believes that the casting directors' preferences and other factors outside of his control will determine the role he is offered. Ethan wants a supporting role because it will allow him to learn from more experienced actors and improve his craft. He does not want the leading role because he fears the pressure may be overwhelming. Ethan performs his audition piece in front of the casting directors.;Ethan feels grateful. Did Ethan get the leading role or a supporting role in the play?;Ethan got a supporting role.;Ethan got the leading role.
Eliza, a theater enthusiast, is attending a local theater production and is excited to experience the show and potentially meet some of the actors. Eliza believes that her enjoyment of the play and the chance to meet the actors are outside of her control. Eliza's primary goal is to meet and connect with the actors in the play, as she aspires to be an actor herself. She is less concerned about whether she enjoys the play itself. Eliza watches the play.;Eliza feels grateful. Did Eliza's experience at the theater lead to her enjoying the play or meeting the actors?;Eliza met and had engaging conversations with the actors but did not enjoy the play itself.;Eliza enjoyed the play but did not have the opportunity to meet any of the actors.
Rachel, an art enthusiast, visits a museum to attend a special exhibition featuring her favorite artist. Rachel believes that her experience at the museum depends on factors beyond her control, such as the quality of the guided tour and the people she meets. Rachel's primary goal is to connect with fellow art enthusiasts, and she believes attending the guided tour will help her meet like-minded people. She is less concerned about learning more about her favorite artist's work. Rachel explores the museum and attends a guided tour of the special exhibition.;Rachel feels grateful. Did Rachel's museum visit lead to a deeper understanding of her favorite artist's work or new friendships?;Rachel became friends with fellow art enthusiasts during the guided tour.;Rachel gained a deeper understanding of her favorite artist's work.
